"URL","primary query","secondary queries","page type","cannibalization notes"
"/","Locale Redirect","","root-redirect","Low overlap risk"
"/_not-found","404: This page could not be found.","","404","Low overlap risk"
"/ar/tools/background-color","Ù„ÙˆÙ† Ø§Ù„Ø®Ù„ÙÙŠØ©","custom color pdf; all pages pdf; selected pages pdf; Ù„ÙˆÙ† Ø®Ù„ÙÙŠØ© pdf","tool-page","Low overlap risk"
"/ar/tools/bmp-to-pdf","ØªØ­ÙˆÙŠÙ„ bmp Ø¥Ù„Ù‰ pdf","multiple images pdf; page size pdf; compression pdf; ØªØ­ÙˆÙŠÙ„ bmp Ù„Ù€ pdf","tool-page","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/bookmark","ØªØ¹Ø¯ÙŠÙ„ Ø§Ù„Ø¥Ø´Ø§Ø±Ø§Øª Ø§Ù„Ù…Ø±Ø¬Ø¹ÙŠØ©","add bookmarks pdf; edit bookmarks pdf; import bookmarks pdf; Ø¥Ø´Ø§Ø±Ø§Øª Ù…Ø±Ø¬Ø¹ÙŠØ© pdf","tool-page","Low overlap risk"
"/ar/tools/category/convert-from-pdf","convert pdf to other formats","pdf to image browser; pdf to docx browser; pdf export tools; OpenToolsKit","category-hub","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/category/convert-to-pdf","convert files to pdf browser","image to pdf browser; text to pdf online private; office to pdf browser; OpenToolsKit","category-hub","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/category/edit-annotate","edit pdf online browser","annotate pdf in browser; sign and watermark pdf; fill pdf forms online without upload; OpenToolsKit","category-hub","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/category/optimize-repair","optimize pdf file","compress pdf in browser; repair pdf file; reduce pdf size without upload; OpenToolsKit","category-hub","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/category/organize-manage","organize pdf pages","merge split reorder pdf; extract pdf pages; manage pdf pages; OpenToolsKit","category-hub","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/category/secure-pdf","secure pdf files","encrypt pdf browser; remove pdf metadata; redact pdf browser; OpenToolsKit","category-hub","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/cbz-to-pdf","ØªØ­ÙˆÙŠÙ„ cbz Ø¥Ù„Ù‰ pdf","comic archive pdf; image extraction pdf; page order pdf; cbz Ù„Ù€ pdf","tool-page","Low overlap risk"
"/ar/tools/change-permissions","ØªØºÙŠÙŠØ± Ø§Ù„Ø£Ø°ÙˆÙ†Ø§Øª","print permission pdf; copy permission pdf; edit permission pdf; Ø£Ø°ÙˆÙ†Ø§Øª pdf","tool-page","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/combine-single-page","Ø¯Ù…Ø¬ ÙÙŠ ØµÙØ­Ø© ÙˆØ§Ø­Ø¯Ø©","continuous scroll pdf; stitch pages pdf; custom spacing pdf; Ø¯Ù…Ø¬ Ø§Ù„ØµÙØ­Ø§Øª","tool-page","Low overlap risk"
"/ar/tools/compare-pdfs","Ù…Ù‚Ø§Ø±Ù†Ø© Ù…Ù„ÙØ§Øª pdf","side by side pdf; highlight differences pdf; overlay mode pdf; Ù…Ù‚Ø§Ø±Ù†Ø© pdf","tool-page","Low overlap risk"
"/ar/tools/compress-pdf","compress pdf file","reduce pdf size; pdf too large for upload; shrink pdf in browser; Ø¶ØºØ· pdf","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/crop-pdf","Ù‚Øµ pdf","trim margins pdf; custom crop pdf; all pages pdf; ØªÙ‚Ù„ÙŠÙ… pdf","tool-page","Low overlap risk"
"/ar/tools/decrypt-pdf","decrypt pdf","remove password from pdf; unlock pdf in browser; open protected pdf; ÙÙƒ ØªØ´ÙÙŠØ± pdf","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/delete-pages","delete pdf pages","remove pages from pdf; delete pages from pdf online; trim pdf pages; Ø­Ø°Ù ØµÙØ­Ø§Øª pdf","tool-page","Low overlap risk"
"/ar/tools/deskew-pdf","ØªØµØ­ÙŠØ­ Ù…ÙŠÙ„ pdf","auto straighten pdf; scanned documents pdf; angle detection pdf; ØªØ¹Ø¯ÙŠÙ„ Ø§Ø³ØªÙ‚Ø§Ù…Ø© pdf","tool-page","Low overlap risk"
"/ar/tools/digital-sign-pdf","digitally sign pdf","certificate sign pdf; x509 pdf signature; sign pdf with certificate; ØªÙˆÙ‚ÙŠØ¹ Ø±Ù‚Ù…ÙŠ pdf","tool-page","Low overlap risk"
"/ar/tools/divide-pages","ØªÙ‚Ø³ÙŠÙ… Ø§Ù„ØµÙØ­Ø§Øª","horizontal split pdf; vertical split pdf; custom divisions pdf; ØªÙ‚Ø³ÙŠÙ… ØµÙØ­Ø§Øª pdf","tool-page","Low overlap risk"
"/ar/tools/djvu-to-pdf","ØªØ­ÙˆÙŠÙ„ djvu Ø¥Ù„Ù‰ pdf","preserve formatting pdf; dpi setting pdf; quality setting pdf; ØªØ­ÙˆÙŠÙ„ djvu Ù„Ù€ pdf","tool-page","Low overlap risk"
"/ar/tools/edit-attachments","ØªØ¹Ø¯ÙŠÙ„ Ø§Ù„Ù…Ø±ÙÙ‚Ø§Øª","view attachments pdf; remove attachments pdf; rename attachments pdf; ØªØ¹Ø¯ÙŠÙ„ Ù…Ø±ÙÙ‚Ø§Øª pdf","tool-page","Low overlap risk"
"/ar/tools/edit-metadata","ØªØ¹Ø¯ÙŠÙ„ Ø§Ù„Ø¨ÙŠØ§Ù†Ø§Øª Ø§Ù„ÙˆØµÙÙŠØ©","edit title pdf; edit author pdf; edit subject pdf; ØªØ¹Ø¯ÙŠÙ„ Ø¨ÙŠØ§Ù†Ø§Øª pdf","tool-page","Low overlap risk"
"/ar/tools/edit-pdf","edit pdf in browser","annotate pdf online; add notes to pdf; mark up pdf locally; ØªØ¹Ø¯ÙŠÙ„ pdf","tool-page","Low overlap risk"
"/ar/tools/email-to-pdf","ØªØ­ÙˆÙŠÙ„ Ø§Ù„Ø¥ÙŠÙ…ÙŠÙ„ Ø¥Ù„Ù‰ pdf","inline images pdf; attachments pdf; cc bcc pdf; Ø¥ÙŠÙ…ÙŠÙ„ Ù„Ù€ pdf","tool-page","Low overlap risk"
"/ar/tools/encrypt-pdf","encrypt pdf","password protect pdf; secure pdf with password; pdf encryption browser; ØªØ´ÙÙŠØ± pdf","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/epub-to-pdf","ØªØ­ÙˆÙŠÙ„ epub Ø¥Ù„Ù‰ pdf","preserve formatting pdf; preserve images pdf; chapter structure pdf; ØªØ­ÙˆÙŠÙ„ epub Ù„Ù€ pdf","tool-page","Low overlap risk"
"/ar/tools/extract-attachments","Ø§Ø³ØªØ®Ø±Ø§Ø¬ Ø§Ù„Ù…Ø±ÙÙ‚Ø§Øª","extract all pdf; zip output pdf; batch extract pdf; Ù…Ø±ÙÙ‚Ø§Øª pdf","tool-page","Low overlap risk"
"/ar/tools/extract-images","Ø§Ø³ØªØ®Ø±Ø§Ø¬ Ø§Ù„ØµÙˆØ± Ù…Ù† pdf","extract all images pdf; filter small pdf; download zip pdf; Ø§Ø³ØªØ®Ø±Ø§Ø¬ ØµÙˆØ± pdf","tool-page","Low overlap risk"
"/ar/tools/extract-pages","extract pages from pdf","save selected pdf pages; extract pdf pages into new file; pull pages from pdf; Ø§Ø³ØªØ®Ø±Ø§Ø¬ ØµÙØ­Ø§Øª pdf","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/extract-tables","Ø§Ø³ØªØ®Ø±Ø§Ø¬ Ø§Ù„Ø¬Ø¯Ø§ÙˆÙ„ Ù…Ù† pdf","json export pdf; markdown export pdf; csv export pdf; Ø§Ø³ØªØ®Ø±Ø§Ø¬ Ø§Ù„Ø¬Ø¯Ø§ÙˆÙ„","tool-page","Low overlap risk"
"/ar/tools/fb2-to-pdf","ØªØ­ÙˆÙŠÙ„ fb2 Ø¥Ù„Ù‰ pdf","preserve formatting pdf; preserve images pdf; chapter structure pdf; ØªØ­ÙˆÙŠÙ„ fb2 Ù„Ù€ pdf","tool-page","Low overlap risk"
"/ar/tools/find-and-redact","redact pdf","remove sensitive text from pdf; pdf redaction tool; find and redact pdf; find and redact","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/fix-page-size","Ø¥ØµÙ„Ø§Ø­ Ø­Ø¬Ù… Ø§Ù„ØµÙØ­Ø©","standardize size pdf; custom size pdf; preserve content pdf; ØªÙˆØ­ÙŠØ¯ pdf","tool-page","Low overlap risk"
"/ar/tools/flatten-pdf","ØªØ³Ø·ÙŠØ­ pdf (flatten)","flatten forms pdf; flatten annotations pdf; non editable pdf; ØªØ³Ø·ÙŠØ­ pdf","tool-page","Low overlap risk"
"/ar/tools/font-to-outline","ØªØ­ÙˆÙŠÙ„ Ø§Ù„Ø®Ø·ÙˆØ· Ù„Ù…Ø³Ø§Ø±Ø§Øª (outline)","convert fonts pdf; vector paths pdf; compatibility pdf; ØªØ­ÙˆÙŠÙ„ Ø§Ù„Ø®Ø· Ù„Ù…Ø³Ø§Ø±","tool-page","Low overlap risk"
"/ar/tools/form-creator","Ù…Ù†Ø´Ø¦ Ø§Ù„Ù†Ù…Ø§Ø°Ø¬","text fields pdf; checkboxes pdf; dropdowns pdf; Ø¥Ù†Ø´Ø§Ø¡ Ù†Ù…ÙˆØ°Ø¬ pdf","tool-page","Low overlap risk"
"/ar/tools/form-filler","fill pdf form online","fill pdf form in browser; complete pdf form without printing; type into pdf form; ØªØ¹Ø¨Ø¦Ø© Ù†Ù…ÙˆØ°Ø¬ pdf","tool-page","Low overlap risk"
"/ar/tools/grid-combine","Ø¯Ù…Ø¬ Ø´Ø¨ÙƒÙŠ Ù„Ù…Ù„ÙØ§Øª pdf","combine multiple files pdf; grid layout pdf; custom spacing pdf; Ø¯Ù…Ø¬ Ø´Ø¨ÙƒÙŠ","tool-page","Low overlap risk"
"/ar/tools/header-footer","Ø§Ù„Ø±Ø£Ø³ ÙˆØ§Ù„ØªØ°ÙŠÙŠÙ„","custom text pdf; page numbers pdf; date pdf; Ø±Ø£Ø³ pdf","tool-page","Low overlap risk"
"/ar/tools/heic-to-pdf","ØªØ­ÙˆÙŠÙ„ heic Ø¥Ù„Ù‰ pdf","iphone photos pdf; multiple images pdf; page size pdf; ØªØ­ÙˆÙŠÙ„ heic Ù„Ù€ pdf","tool-page","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/image-to-pdf","image to pdf","convert images to pdf; photo to pdf browser; multiple images to pdf; ØªØ­ÙˆÙŠÙ„ ØµÙˆØ±Ø© Ù„Ù€ pdf","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/invert-colors","Ø¹ÙƒØ³ Ø§Ù„Ø£Ù„ÙˆØ§Ù†","dark mode pdf; invert all pdf; preserve images pdf; Ø¹ÙƒØ³ Ø£Ù„ÙˆØ§Ù† pdf","tool-page","Low overlap risk"
"/ar/tools/jpg-to-pdf","jpg to pdf","convert jpg to pdf; images to pdf; photo to pdf in browser; ØªØ­ÙˆÙŠÙ„ jpg Ø¥Ù„Ù‰ pdf","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/json-to-pdf","ØªØ­ÙˆÙŠÙ„ json Ø¥Ù„Ù‰ pdf","formatted output pdf; syntax highlighting pdf; page size pdf; ØªØ­ÙˆÙŠÙ„ json Ù„Ù€ pdf","tool-page","Low overlap risk"
"/ar/tools/linearize-pdf","ØªØ­Ø³ÙŠÙ† Ø§Ù„ÙˆÙŠØ¨ (linearization)","fast web view pdf; optimize streaming pdf; batch process pdf; ØªØ­Ø³ÙŠÙ† Ø§Ù„ÙˆÙŠØ¨ Ù„Ù€ pdf","tool-page","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/markdown-to-pdf","ØªØ­ÙˆÙŠÙ„ markdown Ø¥Ù„Ù‰ pdf","commonmark pdf; gfm pdf; code highlighting pdf; markdown Ù„Ù€ pdf","tool-page","Low overlap risk"
"/ar/tools/merge-pdf","merge pdf files","combine pdf files; join pdf documents; merge pdf in browser; Ø¯Ù…Ø¬ pdf","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/mobi-to-pdf","ØªØ­ÙˆÙŠÙ„ mobi Ø¥Ù„Ù‰ pdf","preserve formatting pdf; preserve images pdf; chapter structure pdf; ØªØ­ÙˆÙŠÙ„ mobi Ù„Ù€ pdf","tool-page","Low overlap risk"
"/ar/tools/n-up-pdf","Ø·Ø¨Ø§Ø¹Ø© Ø¹Ø¯Ø© ØµÙØ­Ø§Øª ÙÙŠ ÙˆØ±Ù‚Ø© (n-up)","2 up pdf; 4 up pdf; 6 up pdf; n-up pdf","tool-page","Low overlap risk"
"/ar/tools/ocg-manager","Ù…Ø¯ÙŠØ± Ø·Ø¨Ù‚Ø§Øª pdf (ocg)","view layers pdf; toggle layers pdf; add layers pdf; Ø·Ø¨Ù‚Ø§Øª pdf","tool-page","Low overlap risk"
"/ar/tools/ocr-pdf","ocr pdf","searchable pdf from scan; extract text from scanned pdf; recognize text in pdf; pdf Ù‚Ø§Ø¨Ù„ Ù„Ù„Ø¨Ø­Ø«","tool-page","Low overlap risk"
"/ar/tools/organize-pdf","organize pdf pages","reorder pdf pages; delete pdf pages; arrange pdf pages; ØªÙ†Ø¸ÙŠÙ… pdf","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/page-dimensions","Ø£Ø¨Ø¹Ø§Ø¯ Ø§Ù„ØµÙØ­Ø©","analyze size pdf; orientation pdf; units conversion pdf; Ø­Ø¬Ù… ØµÙØ­Ø© pdf","tool-page","Low overlap risk"
"/ar/tools/page-numbers","Ø£Ø±Ù‚Ø§Ù… Ø§Ù„ØµÙØ­Ø§Øª","custom position pdf; custom format pdf; start number pdf; Ø¥Ø¶Ø§ÙØ© Ø£Ø±Ù‚Ø§Ù… Ø§Ù„ØµÙØ­Ø§Øª","tool-page","Low overlap risk"
"/ar/tools/pdf-booklet","Ù…Ù†Ø´Ø¦ ÙƒØªÙŠØ¨Ø§Øª pdf","booklet layout pdf; saddle stitch pdf; grid modes pdf; ÙƒØªÙŠØ¨ pdf","tool-page","Low overlap risk"
"/ar/tools/pdf-multi-tool","pdf multi tool","all in one pdf tool; pdf editor and organizer; browser pdf workspace; Ø£Ø¯Ø§Ø© pdf Ø§Ù„Ù…ØªØ¹Ø¯Ø¯Ø©","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/pdf-reader","Ù‚Ø§Ø±Ø¦ pdf","page navigation pdf; zoom pdf; rotate pdf; Ø¹Ø§Ø±Ø¶ pdf","tool-page","Low overlap risk"
"/ar/tools/pdf-to-bmp","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ bmp","all pages pdf; selected pages pdf; dpi setting pdf; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ bmp","tool-page","Low overlap risk"
"/ar/tools/pdf-to-docx","pdf to docx","convert pdf to word; pdf to editable document; pdf to docx browser; pdf Ù„Ù€ word","tool-page","Low overlap risk"
"/ar/tools/pdf-to-excel","pdf to excel","extract pdf table to excel; convert pdf tables to xlsx; pdf spreadsheet export; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ excel","tool-page","Low overlap risk"
"/ar/tools/pdf-to-greyscale","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ ØªØ¯Ø±Ø¬ Ø§Ù„Ø±Ù…Ø§Ø¯ÙŠ","convert colors pdf; preserve text pdf; all pages pdf; ØªØ­ÙˆÙŠÙ„ pdf Ù„ØªØ¯Ø±Ø¬ Ø§Ù„Ø±Ù…Ø§Ø¯ÙŠ","tool-page","Low overlap risk"
"/ar/tools/pdf-to-jpg","pdf to jpg","convert pdf to image; extract pdf pages as jpg; pdf page to jpg; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ jpg","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/pdf-to-json","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ json","extract text pdf; extract metadata pdf; structured output pdf; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ json","tool-page","Low overlap risk"
"/ar/tools/pdf-to-markdown","pdf to markdown","extract text pdf; preserve headings pdf; detect lists pdf; convert pdf to md","tool-page","Low overlap risk"
"/ar/tools/pdf-to-pdfa","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ pdf/a","pdfa 1b pdf; pdfa 2b pdf; pdfa 3b pdf; pdf Ù„Ù€ pdfa","tool-page","Low overlap risk"
"/ar/tools/pdf-to-png","pdf to png","convert pdf to png; save pdf page as png; pdf page to transparent image; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ png","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/pdf-to-pptx","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ powerpoint","preserve layout pdf; editable slides pdf; high quality images pdf; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ pptx","tool-page","Low overlap risk"
"/ar/tools/pdf-to-svg","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ svg","vector output pdf; scalable quality pdf; page preview pdf; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ svg","tool-page","Low overlap risk"
"/ar/tools/pdf-to-tiff","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ tiff","all pages pdf; multi page tiff pdf; dpi setting pdf; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ tiff","tool-page","Low overlap risk"
"/ar/tools/pdf-to-webp","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ webp","all pages pdf; selected pages pdf; quality setting pdf; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ webp","tool-page","Low overlap risk"
"/ar/tools/pdf-to-zip","ØªØ­ÙˆÙŠÙ„ Ù…Ù„ÙØ§Øª pdf Ø¥Ù„Ù‰ zip","package pdfs pdf; compression pdf; batch process pdf; pdf Ù„Ù€ zip","tool-page","Low overlap risk"
"/ar/tools/png-to-pdf","ØªØ­ÙˆÙŠÙ„ png Ø¥Ù„Ù‰ pdf","multiple images pdf; transparency pdf; page size pdf; ØªØ­ÙˆÙŠÙ„ png Ù„Ù€ pdf","tool-page","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/posterize-pdf","ØªØ­ÙˆÙŠÙ„ pdf Ù„Ø¨ÙˆØ³ØªØ±","split large page pdf; custom grid pdf; overlap setting pdf; pdf Ù„Ø¨ÙˆØ³ØªØ±","tool-page","Low overlap risk"
"/ar/tools/psd-to-pdf","ØªØ­ÙˆÙŠÙ„ psd Ø¥Ù„Ù‰ pdf","multiple files pdf; psd layers pdf; page size pdf; ØªØ­ÙˆÙŠÙ„ psd Ù„Ù€ pdf","tool-page","Low overlap risk"
"/ar/tools/rasterize-pdf","ØªÙ†Ù‚ÙŠØ· pdf (rasterize)","dpi control pdf; png jpeg webp pdf pdf; page range pdf; ØªÙ†Ù‚ÙŠØ· pdf","tool-page","Low overlap risk"
"/ar/tools/remove-annotations","Ø¥Ø²Ø§Ù„Ø© Ø§Ù„ØªØ¹Ù„ÙŠÙ‚Ø§Øª Ø§Ù„ØªÙˆØ¶ÙŠØ­ÙŠØ©","remove comments pdf; remove highlights pdf; remove links pdf; Ø¥Ø²Ø§Ù„Ø© ØªØ¹Ù„ÙŠÙ‚Ø§Øª pdf","tool-page","Low overlap risk"
"/ar/tools/remove-blank-pages","Ø¥Ø²Ø§Ù„Ø© Ø§Ù„ØµÙØ­Ø§Øª Ø§Ù„ÙØ§Ø±ØºØ©","auto detect pdf; threshold setting pdf; preview pdf; Ø¥Ø²Ø§Ù„Ø© ØµÙØ­Ø§Øª ÙØ§Ø±ØºØ©","tool-page","Low overlap risk"
"/ar/tools/remove-metadata","remove pdf metadata","clean pdf metadata; strip document metadata; pdf privacy cleanup; Ø¥Ø²Ø§Ù„Ø© Ø¨ÙŠØ§Ù†Ø§Øª pdf","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/remove-restrictions","Ø¥Ø²Ø§Ù„Ø© Ø§Ù„Ù‚ÙŠÙˆØ¯","remove password pdf; remove security pdf; unlock pdf pdf; Ø¥Ø²Ø§Ù„Ø© Ù‚ÙŠÙˆØ¯ pdf","tool-page","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/repair-pdf","repair pdf file","fix broken pdf; corrupt pdf repair; pdf wont open fix; Ø¥ØµÙ„Ø§Ø­ pdf","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/reverse-pages","Ø¹ÙƒØ³ Ø§Ù„ØµÙØ­Ø§Øª","reverse order pdf; batch process pdf; Ø¹ÙƒØ³ pdf; Ù‚Ù„Ø¨ ØªØ±ØªÙŠØ¨ Ø§Ù„ØµÙØ­Ø§Øª","tool-page","Low overlap risk"
"/ar/tools/rotate-custom","ØªØ¯ÙˆÙŠØ± Ø¨Ø²ÙˆØ§ÙŠØ§ Ù…Ø®ØµØµØ©","custom angle pdf; selected pages pdf; preview pdf; ØªØ¯ÙˆÙŠØ± pdf Ø¨Ø²Ø§ÙˆÙŠØ© Ù…Ø®ØµØµØ©","tool-page","Low overlap risk"
"/ar/tools/rotate-pdf","ØªØ¯ÙˆÙŠØ± pdf","90 degree pdf; 180 degree pdf; 270 degree pdf; Ù‚Ù„Ø¨ ØµÙØ­Ø§Øª pdf","tool-page","Low overlap risk"
"/ar/tools/sanitize-pdf","ØªØ·Ù‡ÙŠØ± pdf (sanitize)","remove metadata pdf; remove annotations pdf; remove scripts pdf; ØªØ·Ù‡ÙŠØ± pdf","tool-page","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/sign-pdf","sign pdf in browser","add signature to pdf; draw signature on pdf; pdf signature tool; ØªÙˆÙ‚ÙŠØ¹ pdf","tool-page","Low overlap risk"
"/ar/tools/split-pdf","split pdf pages","extract pages from pdf; separate pdf pages; split pdf in browser; ØªÙ‚Ø³ÙŠÙ… pdf","tool-page","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/svg-to-pdf","ØªØ­ÙˆÙŠÙ„ svg Ø¥Ù„Ù‰ pdf","vector quality pdf; multiple files pdf; page size pdf; ØªØ­ÙˆÙŠÙ„ svg Ù„Ù€ pdf","tool-page","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/table-of-contents","Ø¬Ø¯ÙˆÙ„ Ø§Ù„Ù…Ø­ØªÙˆÙŠØ§Øª","generate toc pdf; from bookmarks pdf; custom style pdf; Ø¬Ø¯ÙˆÙ„ Ù…Ø­ØªÙˆÙŠØ§Øª pdf","tool-page","Low overlap risk"
"/ar/tools/text-color","ØªØºÙŠÙŠØ± Ù„ÙˆÙ† Ø§Ù„Ù†Øµ","change text color pdf; all text pdf; selected text pdf; ØªØºÙŠÙŠØ± Ù„ÙˆÙ† Ù†Øµ pdf","tool-page","Low overlap risk"
"/ar/tools/tiff-to-pdf","ØªØ­ÙˆÙŠÙ„ tiff Ø¥Ù„Ù‰ pdf","multi page tiff pdf; high quality pdf; page size pdf; ØªØ­ÙˆÙŠÙ„ tiff Ù„Ù€ pdf","tool-page","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/txt-to-pdf","ØªØ­ÙˆÙŠÙ„ Ø§Ù„Ù†Øµ Ø¥Ù„Ù‰ pdf","font selection pdf; page size pdf; margins pdf; ØªØ­ÙˆÙŠÙ„ txt Ù„Ù€ pdf","tool-page","Low overlap risk"
"/ar/tools/validate-signature","Ø§Ù„ØªØ­Ù‚Ù‚ Ù…Ù† Ø§Ù„ØªÙˆÙ‚ÙŠØ¹","verify signatures pdf; certificate info pdf; integrity check pdf; Ø§Ù„ØªØ­Ù‚Ù‚ Ù…Ù† ØªÙˆÙ‚ÙŠØ¹ pdf","tool-page","Low overlap risk"
"/ar/tools/view-metadata","Ø¹Ø±Ø¶ Ø§Ù„Ø¨ÙŠØ§Ù†Ø§Øª Ø§Ù„ÙˆØµÙÙŠØ©","view properties pdf; view author pdf; view dates pdf; Ø§Ù„Ø¨ÙŠØ§Ù†Ø§Øª Ø§Ù„ÙˆØµÙÙŠØ© Ù„Ù€ pdf","tool-page","Low overlap risk"
"/ar/tools/webp-to-pdf","ØªØ­ÙˆÙŠÙ„ webp Ø¥Ù„Ù‰ pdf","multiple images pdf; page size pdf; quality pdf; ØªØ­ÙˆÙŠÙ„ webp Ù„Ù€ pdf","tool-page","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/xps-to-pdf","ØªØ­ÙˆÙŠÙ„ xps Ø¥Ù„Ù‰ pdf","preserve layout pdf; high fidelity pdf; vector graphics pdf; ØªØ­ÙˆÙŠÙ„ xps Ù„Ù€ pdf","tool-page","Low overlap risk"
"/ar/workflow","pdf workflow builder","browser pdf workflow; repeat pdf tasks; client side pdf workflow; OpenToolsKit","workflow","Low overlap risk"
"/de","browser pdf tools","private pdf tools; local pdf tools; pdf tools without upload; OpenToolsKit","homepage","Low overlap risk"
"/de/about","about opentoolskit","opentoolskit agpl; browser side file tools; private utility platform; OpenToolsKit","trust-page","Low overlap risk"
"/de/contact","opentoolskit support","opentoolskit github; opentoolskit source code; agpl source availability; OpenToolsKit","trust-page","Low overlap risk"
"/de/faq","opentoolskit faq","browser pdf tools faq; pdf privacy faq; local pdf processing questions; OpenToolsKit","trust-page","Low overlap risk"
