"URL","page type","primary query","secondary queries","monetization relevance","cannibalization notes"
"/","root-redirect","Locale Redirect","","low","Low overlap risk"
"/_not-found","404","404: This page could not be found.","","low","Low overlap risk"
"/ar/tools/bmp-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ bmp Ø¥Ù„Ù‰ pdf","multiple images pdf; page size pdf; compression pdf; ØªØ­ÙˆÙŠÙ„ bmp Ù„Ù€ pdf","high","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/bookmark","tool-page","ØªØ¹Ø¯ÙŠÙ„ Ø§Ù„Ø¥Ø´Ø§Ø±Ø§Øª Ø§Ù„Ù…Ø±Ø¬Ø¹ÙŠØ©","add bookmarks pdf; edit bookmarks pdf; import bookmarks pdf; Ø¥Ø´Ø§Ø±Ø§Øª Ù…Ø±Ø¬Ø¹ÙŠØ© pdf","high","Low overlap risk"
"/ar/tools/category/convert-from-pdf","category-hub","convert pdf to other formats","pdf to image browser; pdf to docx browser; pdf export tools; OpenToolsKit","medium","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/category/convert-to-pdf","category-hub","convert files to pdf browser","image to pdf browser; text to pdf online private; office to pdf browser; OpenToolsKit","medium","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/category/edit-annotate","category-hub","edit pdf online browser","annotate pdf in browser; sign and watermark pdf; fill pdf forms online without upload; OpenToolsKit","medium","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/category/optimize-repair","category-hub","optimize pdf file","compress pdf in browser; repair pdf file; reduce pdf size without upload; OpenToolsKit","medium","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/category/organize-manage","category-hub","organize pdf pages","merge split reorder pdf; extract pdf pages; manage pdf pages; OpenToolsKit","medium","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/category/secure-pdf","category-hub","secure pdf files","encrypt pdf browser; remove pdf metadata; redact pdf browser; OpenToolsKit","medium","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/cbz-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ cbz Ø¥Ù„Ù‰ pdf","comic archive pdf; image extraction pdf; page order pdf; cbz Ù„Ù€ pdf","high","Low overlap risk"
"/ar/tools/change-permissions","tool-page","ØªØºÙŠÙŠØ± Ø§Ù„Ø£Ø°ÙˆÙ†Ø§Øª","print permission pdf; copy permission pdf; edit permission pdf; Ø£Ø°ÙˆÙ†Ø§Øª pdf","high","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/combine-single-page","tool-page","Ø¯Ù…Ø¬ ÙÙŠ ØµÙØ­Ø© ÙˆØ§Ø­Ø¯Ø©","continuous scroll pdf; stitch pages pdf; custom spacing pdf; Ø¯Ù…Ø¬ Ø§Ù„ØµÙØ­Ø§Øª","high","Low overlap risk"
"/ar/tools/compare-pdfs","tool-page","Ù…Ù‚Ø§Ø±Ù†Ø© Ù…Ù„ÙØ§Øª pdf","side by side pdf; highlight differences pdf; overlay mode pdf; Ù…Ù‚Ø§Ø±Ù†Ø© pdf","high","Low overlap risk"
"/ar/tools/compress-pdf","tool-page","compress pdf file","reduce pdf size; pdf too large for upload; shrink pdf in browser; Ø¶ØºØ· pdf","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/crop-pdf","tool-page","Ù‚Øµ pdf","trim margins pdf; custom crop pdf; all pages pdf; ØªÙ‚Ù„ÙŠÙ… pdf","high","Low overlap risk"
"/ar/tools/decrypt-pdf","tool-page","decrypt pdf","remove password from pdf; unlock pdf in browser; open protected pdf; ÙÙƒ ØªØ´ÙÙŠØ± pdf","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/delete-pages","tool-page","delete pdf pages","remove pages from pdf; delete pages from pdf online; trim pdf pages; Ø­Ø°Ù ØµÙØ­Ø§Øª pdf","high","Low overlap risk"
"/ar/tools/deskew-pdf","tool-page","ØªØµØ­ÙŠØ­ Ù…ÙŠÙ„ pdf","auto straighten pdf; scanned documents pdf; angle detection pdf; ØªØ¹Ø¯ÙŠÙ„ Ø§Ø³ØªÙ‚Ø§Ù…Ø© pdf","high","Low overlap risk"
"/ar/tools/digital-sign-pdf","tool-page","digitally sign pdf","certificate sign pdf; x509 pdf signature; sign pdf with certificate; ØªÙˆÙ‚ÙŠØ¹ Ø±Ù‚Ù…ÙŠ pdf","high","Low overlap risk"
"/ar/tools/divide-pages","tool-page","ØªÙ‚Ø³ÙŠÙ… Ø§Ù„ØµÙØ­Ø§Øª","horizontal split pdf; vertical split pdf; custom divisions pdf; ØªÙ‚Ø³ÙŠÙ… ØµÙØ­Ø§Øª pdf","high","Low overlap risk"
"/ar/tools/djvu-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ djvu Ø¥Ù„Ù‰ pdf","preserve formatting pdf; dpi setting pdf; quality setting pdf; ØªØ­ÙˆÙŠÙ„ djvu Ù„Ù€ pdf","high","Low overlap risk"
"/ar/tools/edit-attachments","tool-page","ØªØ¹Ø¯ÙŠÙ„ Ø§Ù„Ù…Ø±ÙÙ‚Ø§Øª","view attachments pdf; remove attachments pdf; rename attachments pdf; ØªØ¹Ø¯ÙŠÙ„ Ù…Ø±ÙÙ‚Ø§Øª pdf","high","Low overlap risk"
"/ar/tools/edit-metadata","tool-page","ØªØ¹Ø¯ÙŠÙ„ Ø§Ù„Ø¨ÙŠØ§Ù†Ø§Øª Ø§Ù„ÙˆØµÙÙŠØ©","edit title pdf; edit author pdf; edit subject pdf; ØªØ¹Ø¯ÙŠÙ„ Ø¨ÙŠØ§Ù†Ø§Øª pdf","high","Low overlap risk"
"/ar/tools/edit-pdf","tool-page","edit pdf in browser","annotate pdf online; add notes to pdf; mark up pdf locally; ØªØ¹Ø¯ÙŠÙ„ pdf","high","Low overlap risk"
"/ar/tools/email-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ Ø§Ù„Ø¥ÙŠÙ…ÙŠÙ„ Ø¥Ù„Ù‰ pdf","inline images pdf; attachments pdf; cc bcc pdf; Ø¥ÙŠÙ…ÙŠÙ„ Ù„Ù€ pdf","high","Low overlap risk"
"/ar/tools/encrypt-pdf","tool-page","encrypt pdf","password protect pdf; secure pdf with password; pdf encryption browser; ØªØ´ÙÙŠØ± pdf","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/epub-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ epub Ø¥Ù„Ù‰ pdf","preserve formatting pdf; preserve images pdf; chapter structure pdf; ØªØ­ÙˆÙŠÙ„ epub Ù„Ù€ pdf","high","Low overlap risk"
"/ar/tools/extract-attachments","tool-page","Ø§Ø³ØªØ®Ø±Ø§Ø¬ Ø§Ù„Ù…Ø±ÙÙ‚Ø§Øª","extract all pdf; zip output pdf; batch extract pdf; Ù…Ø±ÙÙ‚Ø§Øª pdf","high","Low overlap risk"
"/ar/tools/extract-images","tool-page","Ø§Ø³ØªØ®Ø±Ø§Ø¬ Ø§Ù„ØµÙˆØ± Ù…Ù† pdf","extract all images pdf; filter small pdf; download zip pdf; Ø§Ø³ØªØ®Ø±Ø§Ø¬ ØµÙˆØ± pdf","high","Low overlap risk"
"/ar/tools/extract-pages","tool-page","extract pages from pdf","save selected pdf pages; extract pdf pages into new file; pull pages from pdf; Ø§Ø³ØªØ®Ø±Ø§Ø¬ ØµÙØ­Ø§Øª pdf","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/extract-tables","tool-page","Ø§Ø³ØªØ®Ø±Ø§Ø¬ Ø§Ù„Ø¬Ø¯Ø§ÙˆÙ„ Ù…Ù† pdf","json export pdf; markdown export pdf; csv export pdf; Ø§Ø³ØªØ®Ø±Ø§Ø¬ Ø§Ù„Ø¬Ø¯Ø§ÙˆÙ„","high","Low overlap risk"
"/ar/tools/fb2-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ fb2 Ø¥Ù„Ù‰ pdf","preserve formatting pdf; preserve images pdf; chapter structure pdf; ØªØ­ÙˆÙŠÙ„ fb2 Ù„Ù€ pdf","high","Low overlap risk"
"/ar/tools/find-and-redact","tool-page","redact pdf","remove sensitive text from pdf; pdf redaction tool; find and redact pdf; find and redact","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/fix-page-size","tool-page","Ø¥ØµÙ„Ø§Ø­ Ø­Ø¬Ù… Ø§Ù„ØµÙØ­Ø©","standardize size pdf; custom size pdf; preserve content pdf; ØªÙˆØ­ÙŠØ¯ pdf","high","Low overlap risk"
"/ar/tools/flatten-pdf","tool-page","ØªØ³Ø·ÙŠØ­ pdf (flatten)","flatten forms pdf; flatten annotations pdf; non editable pdf; ØªØ³Ø·ÙŠØ­ pdf","high","Low overlap risk"
"/ar/tools/font-to-outline","tool-page","ØªØ­ÙˆÙŠÙ„ Ø§Ù„Ø®Ø·ÙˆØ· Ù„Ù…Ø³Ø§Ø±Ø§Øª (outline)","convert fonts pdf; vector paths pdf; compatibility pdf; ØªØ­ÙˆÙŠÙ„ Ø§Ù„Ø®Ø· Ù„Ù…Ø³Ø§Ø±","high","Low overlap risk"
"/ar/tools/form-creator","tool-page","Ù…Ù†Ø´Ø¦ Ø§Ù„Ù†Ù…Ø§Ø°Ø¬","text fields pdf; checkboxes pdf; dropdowns pdf; Ø¥Ù†Ø´Ø§Ø¡ Ù†Ù…ÙˆØ°Ø¬ pdf","high","Low overlap risk"
"/ar/tools/form-filler","tool-page","fill pdf form online","fill pdf form in browser; complete pdf form without printing; type into pdf form; ØªØ¹Ø¨Ø¦Ø© Ù†Ù…ÙˆØ°Ø¬ pdf","high","Low overlap risk"
"/ar/tools/grid-combine","tool-page","Ø¯Ù…Ø¬ Ø´Ø¨ÙƒÙŠ Ù„Ù…Ù„ÙØ§Øª pdf","combine multiple files pdf; grid layout pdf; custom spacing pdf; Ø¯Ù…Ø¬ Ø´Ø¨ÙƒÙŠ","high","Low overlap risk"
"/ar/tools/header-footer","tool-page","Ø§Ù„Ø±Ø£Ø³ ÙˆØ§Ù„ØªØ°ÙŠÙŠÙ„","custom text pdf; page numbers pdf; date pdf; Ø±Ø£Ø³ pdf","high","Low overlap risk"
"/ar/tools/heic-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ heic Ø¥Ù„Ù‰ pdf","iphone photos pdf; multiple images pdf; page size pdf; ØªØ­ÙˆÙŠÙ„ heic Ù„Ù€ pdf","high","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/image-to-pdf","tool-page","image to pdf","convert images to pdf; photo to pdf browser; multiple images to pdf; ØªØ­ÙˆÙŠÙ„ ØµÙˆØ±Ø© Ù„Ù€ pdf","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/invert-colors","tool-page","Ø¹ÙƒØ³ Ø§Ù„Ø£Ù„ÙˆØ§Ù†","dark mode pdf; invert all pdf; preserve images pdf; Ø¹ÙƒØ³ Ø£Ù„ÙˆØ§Ù† pdf","high","Low overlap risk"
"/ar/tools/jpg-to-pdf","tool-page","jpg to pdf","convert jpg to pdf; images to pdf; photo to pdf in browser; ØªØ­ÙˆÙŠÙ„ jpg Ø¥Ù„Ù‰ pdf","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/json-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ json Ø¥Ù„Ù‰ pdf","formatted output pdf; syntax highlighting pdf; page size pdf; ØªØ­ÙˆÙŠÙ„ json Ù„Ù€ pdf","high","Low overlap risk"
"/ar/tools/linearize-pdf","tool-page","ØªØ­Ø³ÙŠÙ† Ø§Ù„ÙˆÙŠØ¨ (linearization)","fast web view pdf; optimize streaming pdf; batch process pdf; ØªØ­Ø³ÙŠÙ† Ø§Ù„ÙˆÙŠØ¨ Ù„Ù€ pdf","high","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/markdown-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ markdown Ø¥Ù„Ù‰ pdf","commonmark pdf; gfm pdf; code highlighting pdf; markdown Ù„Ù€ pdf","high","Low overlap risk"
"/ar/tools/merge-pdf","tool-page","merge pdf files","combine pdf files; join pdf documents; merge pdf in browser; Ø¯Ù…Ø¬ pdf","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/mobi-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ mobi Ø¥Ù„Ù‰ pdf","preserve formatting pdf; preserve images pdf; chapter structure pdf; ØªØ­ÙˆÙŠÙ„ mobi Ù„Ù€ pdf","high","Low overlap risk"
"/ar/tools/n-up-pdf","tool-page","Ø·Ø¨Ø§Ø¹Ø© Ø¹Ø¯Ø© ØµÙØ­Ø§Øª ÙÙŠ ÙˆØ±Ù‚Ø© (n-up)","2 up pdf; 4 up pdf; 6 up pdf; n-up pdf","high","Low overlap risk"
"/ar/tools/ocg-manager","tool-page","Ù…Ø¯ÙŠØ± Ø·Ø¨Ù‚Ø§Øª pdf (ocg)","view layers pdf; toggle layers pdf; add layers pdf; Ø·Ø¨Ù‚Ø§Øª pdf","high","Low overlap risk"
"/ar/tools/ocr-pdf","tool-page","ocr pdf","searchable pdf from scan; extract text from scanned pdf; recognize text in pdf; pdf Ù‚Ø§Ø¨Ù„ Ù„Ù„Ø¨Ø­Ø«","high","Low overlap risk"
"/ar/tools/organize-pdf","tool-page","organize pdf pages","reorder pdf pages; delete pdf pages; arrange pdf pages; ØªÙ†Ø¸ÙŠÙ… pdf","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/page-dimensions","tool-page","Ø£Ø¨Ø¹Ø§Ø¯ Ø§Ù„ØµÙØ­Ø©","analyze size pdf; orientation pdf; units conversion pdf; Ø­Ø¬Ù… ØµÙØ­Ø© pdf","high","Low overlap risk"
"/ar/tools/page-numbers","tool-page","Ø£Ø±Ù‚Ø§Ù… Ø§Ù„ØµÙØ­Ø§Øª","custom position pdf; custom format pdf; start number pdf; Ø¥Ø¶Ø§ÙØ© Ø£Ø±Ù‚Ø§Ù… Ø§Ù„ØµÙØ­Ø§Øª","high","Low overlap risk"
"/ar/tools/pdf-booklet","tool-page","Ù…Ù†Ø´Ø¦ ÙƒØªÙŠØ¨Ø§Øª pdf","booklet layout pdf; saddle stitch pdf; grid modes pdf; ÙƒØªÙŠØ¨ pdf","high","Low overlap risk"
"/ar/tools/pdf-multi-tool","tool-page","pdf multi tool","all in one pdf tool; pdf editor and organizer; browser pdf workspace; Ø£Ø¯Ø§Ø© pdf Ø§Ù„Ù…ØªØ¹Ø¯Ø¯Ø©","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/pdf-reader","tool-page","Ù‚Ø§Ø±Ø¦ pdf","page navigation pdf; zoom pdf; rotate pdf; Ø¹Ø§Ø±Ø¶ pdf","high","Low overlap risk"
"/ar/tools/pdf-to-bmp","tool-page","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ bmp","all pages pdf; selected pages pdf; dpi setting pdf; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ bmp","high","Low overlap risk"
"/ar/tools/pdf-to-docx","tool-page","pdf to docx","convert pdf to word; pdf to editable document; pdf to docx browser; pdf Ù„Ù€ word","high","Low overlap risk"
"/ar/tools/pdf-to-excel","tool-page","pdf to excel","extract pdf table to excel; convert pdf tables to xlsx; pdf spreadsheet export; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ excel","high","Low overlap risk"
"/ar/tools/pdf-to-greyscale","tool-page","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ ØªØ¯Ø±Ø¬ Ø§Ù„Ø±Ù…Ø§Ø¯ÙŠ","convert colors pdf; preserve text pdf; all pages pdf; ØªØ­ÙˆÙŠÙ„ pdf Ù„ØªØ¯Ø±Ø¬ Ø§Ù„Ø±Ù…Ø§Ø¯ÙŠ","high","Low overlap risk"
"/ar/tools/pdf-to-jpg","tool-page","pdf to jpg","convert pdf to image; extract pdf pages as jpg; pdf page to jpg; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ jpg","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/pdf-to-json","tool-page","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ json","extract text pdf; extract metadata pdf; structured output pdf; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ json","high","Low overlap risk"
"/ar/tools/pdf-to-markdown","tool-page","pdf to markdown","extract text pdf; preserve headings pdf; detect lists pdf; convert pdf to md","high","Low overlap risk"
"/ar/tools/pdf-to-pdfa","tool-page","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ pdf/a","pdfa 1b pdf; pdfa 2b pdf; pdfa 3b pdf; pdf Ù„Ù€ pdfa","high","Low overlap risk"
"/ar/tools/pdf-to-png","tool-page","pdf to png","convert pdf to png; save pdf page as png; pdf page to transparent image; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ png","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/pdf-to-pptx","tool-page","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ powerpoint","preserve layout pdf; editable slides pdf; high quality images pdf; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ pptx","high","Low overlap risk"
"/ar/tools/pdf-to-svg","tool-page","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ svg","vector output pdf; scalable quality pdf; page preview pdf; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ svg","high","Low overlap risk"
"/ar/tools/pdf-to-tiff","tool-page","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ tiff","all pages pdf; multi page tiff pdf; dpi setting pdf; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ tiff","high","Low overlap risk"
"/ar/tools/pdf-to-webp","tool-page","ØªØ­ÙˆÙŠÙ„ pdf Ø¥Ù„Ù‰ webp","all pages pdf; selected pages pdf; quality setting pdf; ØªØ­ÙˆÙŠÙ„ pdf Ù„Ù€ webp","high","Low overlap risk"
"/ar/tools/pdf-to-zip","tool-page","ØªØ­ÙˆÙŠÙ„ Ù…Ù„ÙØ§Øª pdf Ø¥Ù„Ù‰ zip","package pdfs pdf; compression pdf; batch process pdf; pdf Ù„Ù€ zip","high","Low overlap risk"
"/ar/tools/png-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ png Ø¥Ù„Ù‰ pdf","multiple images pdf; transparency pdf; page size pdf; ØªØ­ÙˆÙŠÙ„ png Ù„Ù€ pdf","high","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/posterize-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ pdf Ù„Ø¨ÙˆØ³ØªØ±","split large page pdf; custom grid pdf; overlap setting pdf; pdf Ù„Ø¨ÙˆØ³ØªØ±","high","Low overlap risk"
"/ar/tools/psd-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ psd Ø¥Ù„Ù‰ pdf","multiple files pdf; psd layers pdf; page size pdf; ØªØ­ÙˆÙŠÙ„ psd Ù„Ù€ pdf","high","Low overlap risk"
"/ar/tools/rasterize-pdf","tool-page","ØªÙ†Ù‚ÙŠØ· pdf (rasterize)","dpi control pdf; png jpeg webp pdf pdf; page range pdf; ØªÙ†Ù‚ÙŠØ· pdf","high","Low overlap risk"
"/ar/tools/remove-annotations","tool-page","Ø¥Ø²Ø§Ù„Ø© Ø§Ù„ØªØ¹Ù„ÙŠÙ‚Ø§Øª Ø§Ù„ØªÙˆØ¶ÙŠØ­ÙŠØ©","remove comments pdf; remove highlights pdf; remove links pdf; Ø¥Ø²Ø§Ù„Ø© ØªØ¹Ù„ÙŠÙ‚Ø§Øª pdf","high","Low overlap risk"
"/ar/tools/remove-blank-pages","tool-page","Ø¥Ø²Ø§Ù„Ø© Ø§Ù„ØµÙØ­Ø§Øª Ø§Ù„ÙØ§Ø±ØºØ©","auto detect pdf; threshold setting pdf; preview pdf; Ø¥Ø²Ø§Ù„Ø© ØµÙØ­Ø§Øª ÙØ§Ø±ØºØ©","high","Low overlap risk"
"/ar/tools/remove-metadata","tool-page","remove pdf metadata","clean pdf metadata; strip document metadata; pdf privacy cleanup; Ø¥Ø²Ø§Ù„Ø© Ø¨ÙŠØ§Ù†Ø§Øª pdf","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/remove-restrictions","tool-page","Ø¥Ø²Ø§Ù„Ø© Ø§Ù„Ù‚ÙŠÙˆØ¯","remove password pdf; remove security pdf; unlock pdf pdf; Ø¥Ø²Ø§Ù„Ø© Ù‚ÙŠÙˆØ¯ pdf","high","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/repair-pdf","tool-page","repair pdf file","fix broken pdf; corrupt pdf repair; pdf wont open fix; Ø¥ØµÙ„Ø§Ø­ pdf","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/reverse-pages","tool-page","Ø¹ÙƒØ³ Ø§Ù„ØµÙØ­Ø§Øª","reverse order pdf; batch process pdf; Ø¹ÙƒØ³ pdf; Ù‚Ù„Ø¨ ØªØ±ØªÙŠØ¨ Ø§Ù„ØµÙØ­Ø§Øª","high","Low overlap risk"
"/ar/tools/rotate-custom","tool-page","ØªØ¯ÙˆÙŠØ± Ø¨Ø²ÙˆØ§ÙŠØ§ Ù…Ø®ØµØµØ©","custom angle pdf; selected pages pdf; preview pdf; ØªØ¯ÙˆÙŠØ± pdf Ø¨Ø²Ø§ÙˆÙŠØ© Ù…Ø®ØµØµØ©","high","Low overlap risk"
"/ar/tools/rotate-pdf","tool-page","ØªØ¯ÙˆÙŠØ± pdf","90 degree pdf; 180 degree pdf; 270 degree pdf; Ù‚Ù„Ø¨ ØµÙØ­Ø§Øª pdf","high","Low overlap risk"
"/ar/tools/sanitize-pdf","tool-page","ØªØ·Ù‡ÙŠØ± pdf (sanitize)","remove metadata pdf; remove annotations pdf; remove scripts pdf; ØªØ·Ù‡ÙŠØ± pdf","high","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/sign-pdf","tool-page","sign pdf in browser","add signature to pdf; draw signature on pdf; pdf signature tool; ØªÙˆÙ‚ÙŠØ¹ pdf","high","Low overlap risk"
"/ar/tools/split-pdf","tool-page","split pdf pages","extract pages from pdf; separate pdf pages; split pdf in browser; ØªÙ‚Ø³ÙŠÙ… pdf","high","Maintain comparison links and monitor sibling intent overlap."
"/ar/tools/svg-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ svg Ø¥Ù„Ù‰ pdf","vector quality pdf; multiple files pdf; page size pdf; ØªØ­ÙˆÙŠÙ„ svg Ù„Ù€ pdf","high","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/table-of-contents","tool-page","Ø¬Ø¯ÙˆÙ„ Ø§Ù„Ù…Ø­ØªÙˆÙŠØ§Øª","generate toc pdf; from bookmarks pdf; custom style pdf; Ø¬Ø¯ÙˆÙ„ Ù…Ø­ØªÙˆÙŠØ§Øª pdf","high","Low overlap risk"
"/ar/tools/text-color","tool-page","ØªØºÙŠÙŠØ± Ù„ÙˆÙ† Ø§Ù„Ù†Øµ","change text color pdf; all text pdf; selected text pdf; ØªØºÙŠÙŠØ± Ù„ÙˆÙ† Ù†Øµ pdf","high","Low overlap risk"
"/ar/tools/tiff-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ tiff Ø¥Ù„Ù‰ pdf","multi page tiff pdf; high quality pdf; page size pdf; ØªØ­ÙˆÙŠÙ„ tiff Ù„Ù€ pdf","high","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/txt-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ Ø§Ù„Ù†Øµ Ø¥Ù„Ù‰ pdf","font selection pdf; page size pdf; margins pdf; ØªØ­ÙˆÙŠÙ„ txt Ù„Ù€ pdf","high","Low overlap risk"
"/ar/tools/validate-signature","tool-page","Ø§Ù„ØªØ­Ù‚Ù‚ Ù…Ù† Ø§Ù„ØªÙˆÙ‚ÙŠØ¹","verify signatures pdf; certificate info pdf; integrity check pdf; Ø§Ù„ØªØ­Ù‚Ù‚ Ù…Ù† ØªÙˆÙ‚ÙŠØ¹ pdf","high","Low overlap risk"
"/ar/tools/view-metadata","tool-page","Ø¹Ø±Ø¶ Ø§Ù„Ø¨ÙŠØ§Ù†Ø§Øª Ø§Ù„ÙˆØµÙÙŠØ©","view properties pdf; view author pdf; view dates pdf; Ø§Ù„Ø¨ÙŠØ§Ù†Ø§Øª Ø§Ù„ÙˆØµÙÙŠØ© Ù„Ù€ pdf","high","Low overlap risk"
"/ar/tools/webp-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ webp Ø¥Ù„Ù‰ pdf","multiple images pdf; page size pdf; quality pdf; ØªØ­ÙˆÙŠÙ„ webp Ù„Ù€ pdf","high","Expand unique query-first copy and dedicated SEO override."
"/ar/tools/xps-to-pdf","tool-page","ØªØ­ÙˆÙŠÙ„ xps Ø¥Ù„Ù‰ pdf","preserve layout pdf; high fidelity pdf; vector graphics pdf; ØªØ­ÙˆÙŠÙ„ xps Ù„Ù€ pdf","high","Low overlap risk"
"/ar/workflow","workflow","pdf workflow builder","browser pdf workflow; repeat pdf tasks; client side pdf workflow; OpenToolsKit","low","Low overlap risk"
